"race_state","year","state","mean_spread","sd_spread","mean_spread_act","n_polls","ci_lower","ci_upper","outside_ci"
"2008_House-G_AK",2008,"AK",-7.25,1.5,5.17,4,-8.72,-5.78,1
"2008_House-G_CA",2008,"CA",-1.5,8.81286937760152,-1.1325,4,-10.1366119900495,7.13661199004949,0
"2008_House-G_FL",2008,"FL",3.5,15.137465347371,8.945,8,-6.98972830916034,13.9897283091603,0
"2008_House-G_ID",2008,"ID",10.3333333333333,29.1604755333882,13.1833333333333,3,-22.6648511285091,43.3315177951757,0
"2008_House-G_IL",2008,"IL",-8.5,11.4455231422596,-9.4,4,-19.7166126794144,2.71661267941441,0
"2008_House-G_IN",2008,"IN",-6.57142857142857,10.2283453021028,-8.53142857142857,7,-14.1486928094853,1.00583566662815,0
"2008_House-G_KY",2008,"KY",0.333333333333333,15.2926997834479,0.666666666666669,6,-11.9033750112792,12.5700416779459,0
"2008_House-G_ME",2008,"ME",-26.75,13.3759734848222,-22.34,4,-39.8584540151258,-13.6415459848742,0
"2008_House-G_MN",2008,"MN",0.4,3.13049516849971,4.84,5,-2.344,3.144,1
"2008_House-G_MO",2008,"MO",11.3333333333333,6.50640709864771,15.88,3,3.9706405892047,18.696026077462,0
"2008_House-G_MT",2008,"MT",22.25,9.17877987534291,31.72,4,13.2547957221639,31.2452042778361,1
"2008_House-G_NH",2008,"NH",-13.3333333333333,7.91239916877685,-10.46,12,-17.8101946075618,-8.85647205910483,0
"2008_House-G_NJ",2008,"NJ",2.66666666666667,9.29157324317757,5.77,3,-7.84773826709497,13.1810716004283,0
"2008_House-G_NM",2008,"NM",-12,13.856406460551,-16.4966666666667,3,-27.68,3.68,0
"2008_House-G_NV",2008,"NV",3.5,6.65832811847939,2.62,4,-3.02516155610981,10.0251615561098,0
"2008_House-G_PA",2008,"PA",-0.166666666666667,9.62115724155191,-10.92,6,-7.86519581911593,7.53186248578259,1
"2008_House-G_SC",2008,"SC",9.33333333333333,3.78593889720018,5.21333333333333,3,5.04914016412269,13.617526502544,0
"2008_House-G_TX",2008,"TX",6.6,6.34822809924155,10.392,5,1.03553272990127,12.1644672700987,0
"2008_House-G_UT",2008,"UT",10.1666666666667,33.8373560826887,14.2766666666667,6,-16.9088571714996,37.242190504833,0
"2008_House-G_WY",2008,"WY",2,3.55902608401044,9.81,4,-1.48784556233023,5.48784556233023,1
"2008_Pres_AK",2008,"AK",14.5,3.69684550213647,21.5,4,10.8770914079063,18.1229085920937,1
"2008_Pres_AL",2008,"AL",21.9090909090909,5.56270823823459,21.6,22,19.5845830818039,24.2335987363779,0
"2008_Pres_AR",2008,"AR",9.33333333333333,2.08166599946613,19.8,3,6.97770650003019,11.6889601666365,1
"2008_Pres_AZ",2008,"AZ",3.5,1.73205080756888,8.5,4,1.8025902085825,5.1974097914175,1
"2008_Pres_CA",2008,"CA",-15.3928571428571,6.55653073188064,-24,28,-17.8214301120443,-12.96428417367,1
"2008_Pres_CO",2008,"CO",-4.33333333333333,3.54776925217335,-9,51,-5.30703597613621,-3.35963069053046,1
"2008_Pres_CT",2008,"CT",-16.3333333333333,5.8672176049847,-22.4,12,-19.6530242036927,-13.0136424629739,1
"2008_Pres_DE",2008,"DE",-21,7.93725393319377,-24.9,3,-29.9818483621134,-12.0181516378866,0
"2008_Pres_FL",2008,"FL",0.650602409638554,5.11199864245697,-2.8,83,-0.449182496554325,1.75038731583143,1
"2008_Pres_GA",2008,"GA",4,2.58198889747161,5.2,4,1.46965088047782,6.53034911952218,0
"2008_Pres_IA",2008,"IA",-9.66666666666667,4.55978800676815,-9.5,33,-11.2224307940979,-8.11090253923538,0
"2008_Pres_ID",2008,"ID",22.75,11.6153633893506,25.4,4,11.3669438784364,34.1330561215636,0
"2008_Pres_IL",2008,"IL",-24.75,2.98607881119482,-25.1,4,-27.6763572349709,-21.8236427650291,0
"2008_Pres_IN",2008,"IN",1.8125,4.54679965434746,-1.1,32,0.237114294539987,3.38788570546001,1
"2008_Pres_KS",2008,"KS",14.3888888888889,5.83235285877673,14.9,18,11.6944793345026,17.0832984432752,0
"2008_Pres_KY",2008,"KY",17.4090909090909,7.47477721221806,16.2,22,14.2855803108537,20.5326015073281,0
"2008_Pres_LA",2008,"LA",15.2222222222222,2.90593262902712,18.7,9,13.3236795712578,17.1207648731866,1
"2008_Pres_MA",2008,"MA",-12,8.92561855933059,-25.8,19,-16.0134475707936,-7.98655242920644,1
"2008_Pres_MD",2008,"MD",-13.3333333333333,5.64505683467108,-25.4,6,-17.8503195458919,-8.81634712077474,1
"2008_Pres_ME",2008,"ME",-15.6,3.57770876399966,-17.3,5,-18.736,-12.464,0
"2008_Pres_MI",2008,"MI",-6.10204081632653,6.10752574683884,-16.4,49,-7.81214802544141,-4.39193360721166,1
"2008_Pres_MN",2008,"MN",-8.41666666666667,6.7345831295692,-10.3,48,-10.3218912242076,-6.51144210912569,0
"2008_Pres_MO",2008,"MO",1.97777777777778,4.87334535504051,0.100000000000001,45,0.553885929528529,3.40166962602703,1
"2008_Pres_MS",2008,"MS",11.0769230769231,3.59308452589922,13.2,13,9.12370007918435,13.0301460746618,1
"2008_Pres_MT",2008,"MT",3.75,0.5,2.2,4,3.26,4.24,1
