"race_state","year","state","fraction_outside_ci","n_races"
"2008_House-G_AK",2008,"AK",1,1
"2008_House-G_MN",2008,"MN",1,1
"2008_House-G_MT",2008,"MT",1,1
"2008_House-G_PA",2008,"PA",1,1
"2008_House-G_WY",2008,"WY",1,1
"2008_Pres_AK",2008,"AK",1,1
"2008_Pres_AR",2008,"AR",1,1
"2008_Pres_AZ",2008,"AZ",1,1
"2008_Pres_CA",2008,"CA",1,1
"2008_Pres_CO",2008,"CO",1,1
"2008_Pres_CT",2008,"CT",1,1
"2008_Pres_FL",2008,"FL",1,1
"2008_Pres_IN",2008,"IN",1,1
"2008_Pres_LA",2008,"LA",1,1
"2008_Pres_MA",2008,"MA",1,1
"2008_Pres_MD",2008,"MD",1,1
"2008_Pres_MI",2008,"MI",1,1
"2008_Pres_MO",2008,"MO",1,1
"2008_Pres_MS",2008,"MS",1,1
"2008_Pres_MT",2008,"MT",1,1
"2008_Pres_NC",2008,"NC",1,1
"2008_Pres_ND",2008,"ND",1,1
"2008_Pres_NH",2008,"NH",1,1
"2008_Pres_NJ",2008,"NJ",1,1
"2008_Pres_NM",2008,"NM",1,1
"2008_Pres_NV",2008,"NV",1,1
"2008_Pres_NY",2008,"NY",1,1
"2008_Pres_OH",2008,"OH",1,1
"2008_Pres_OR",2008,"OR",1,1
"2008_Pres_PA",2008,"PA",1,1
"2008_Pres_RI",2008,"RI",1,1
"2008_Pres_VA",2008,"VA",1,1
"2008_Pres_VT",2008,"VT",1,1
"2008_Pres_WA",2008,"WA",1,1
"2008_Pres_WI",2008,"WI",1,1
"2008_Pres_WV",2008,"WV",1,1
"2008_Pres_WY",2008,"WY",1,1
"2008_Sen-GR_GA",2008,"GA",1,1
"2008_Sen-GS_WY",2008,"WY",1,1
"2008_Sen-G_AK",2008,"AK",1,1
"2008_Sen-G_IA",2008,"IA",1,1
"2008_Sen-G_LA",2008,"LA",1,1
"2008_Sen-G_MA",2008,"MA",1,1
"2008_Sen-G_ME",2008,"ME",1,1
"2008_Sen-G_MI",2008,"MI",1,1
"2008_Sen-G_NC",2008,"NC",1,1
"2008_Sen-G_NH",2008,"NH",1,1
"2008_Sen-G_NM",2008,"NM",1,1
"2008_Sen-G_OK",2008,"OK",1,1
"2008_Sen-G_TN",2008,"TN",1,1
"2008_Sen-G_VA",2008,"VA",1,1
"2008_Sen-G_WV",2008,"WV",1,1
"2008_Sen-G_WY",2008,"WY",1,1
"2010_House-G_AZ",2010,"AZ",1,1
"2010_House-G_CT",2010,"CT",1,1
"2010_House-G_FL",2010,"FL",1,1
"2010_House-G_NY",2010,"NY",1,1
"2010_House-G_PA",2010,"PA",1,1
"2010_House-G_TN",2010,"TN",1,1
"2010_House-G_TX",2010,"TX",1,1
"2010_House-G_WI",2010,"WI",1,1
"2010_Sen-GS_NY",2010,"NY",1,1
"2010_Sen-G_CA",2010,"CA",1,1
"2010_Sen-G_CO",2010,"CO",1,1
"2010_Sen-G_CT",2010,"CT",1,1
"2010_Sen-G_DE",2010,"DE",1,1
"2010_Sen-G_GA",2010,"GA",1,1
"2010_Sen-G_IN",2010,"IN",1,1
"2010_Sen-G_KY",2010,"KY",1,1
"2010_Sen-G_LA",2010,"LA",1,1
"2010_Sen-G_MO",2010,"MO",1,1
"2010_Sen-G_NH",2010,"NH",1,1
"2010_Sen-G_NV",2010,"NV",1,1
"2010_Sen-G_NY",2010,"NY",1,1
"2010_Sen-G_PA",2010,"PA",1,1
"2010_Sen-G_UT",2010,"UT",1,1
"2010_Sen-G_WA",2010,"WA",1,1
"2010_Sen-G_WV",2010,"WV",1,1
"2012_House-G_MN",2012,"MN",1,1
"2012_House-G_MT",2012,"MT",1,1
"2012_Pres_AZ",2012,"AZ",1,1
"2012_Pres_CA",2012,"CA",1,1
"2012_Pres_CO",2012,"CO",1,1
"2012_Pres_CT",2012,"CT",1,1
"2012_Pres_IA",2012,"IA",1,1
"2012_Pres_MA",2012,"MA",1,1
"2012_Pres_MD",2012,"MD",1,1
"2012_Pres_ME",2012,"ME",1,1
"2012_Pres_MI",2012,"MI",1,1
"2012_Pres_MO",2012,"MO",1,1
"2012_Pres_MT",2012,"MT",1,1
"2012_Pres_NE",2012,"NE",1,1
"2012_Pres_NH",2012,"NH",1,1
"2012_Pres_NJ",2012,"NJ",1,1
"2012_Pres_NV",2012,"NV",1,1
"2012_Pres_OR",2012,"OR",1,1
"2012_Pres_RI",2012,"RI",1,1
"2012_Pres_TN",2012,"TN",1,1
"2012_Pres_VA",2012,"VA",1,1
"2012_Pres_WI",2012,"WI",1,1
"2012_Pres_WV",2012,"WV",1,1
"2012_Sen-G_AZ",2012,"AZ",1,1
"2012_Sen-G_CA",2012,"CA",1,1
"2012_Sen-G_CT",2012,"CT",1,1
"2012_Sen-G_FL",2012,"FL",1,1
"2012_Sen-G_MA",2012,"MA",1,1
"2012_Sen-G_MI",2012,"MI",1,1
"2012_Sen-G_MO",2012,"MO",1,1
"2012_Sen-G_MT",2012,"MT",1,1
"2012_Sen-G_NE",2012,"NE",1,1
"2012_Sen-G_NM",2012,"NM",1,1
"2012_Sen-G_NV",2012,"NV",1,1
"2012_Sen-G_NY",2012,"NY",1,1
"2012_Sen-G_OH",2012,"OH",1,1
"2012_Sen-G_PA",2012,"PA",1,1
"2012_Sen-G_VA",2012,"VA",1,1
"2012_Sen-G_WI",2012,"WI",1,1
"2014_House-G_IA",2014,"IA",1,1
"2014_House-G_KS",2014,"KS",1,1
"2014_House-G_MA",2014,"MA",1,1
"2014_House-G_NY",2014,"NY",1,1
"2014_House-G_SD",2014,"SD",1,1
"2014_Sen-GR_LA",2014,"LA",1,1
"2014_Sen-G_AR",2014,"AR",1,1
"2014_Sen-G_GA",2014,"GA",1,1
"2014_Sen-G_IA",2014,"IA",1,1
"2014_Sen-G_KY",2014,"KY",1,1
"2014_Sen-G_MA",2014,"MA",1,1
"2014_Sen-G_NC",2014,"NC",1,1
"2014_Sen-G_SD",2014,"SD",1,1
"2014_Sen-G_VA",2014,"VA",1,1
"2016_Pres_AK",2016,"AK",1,1
"2016_Pres_AL",2016,"AL",1,1
"2016_Pres_AR",2016,"AR",1,1
"2016_Pres_AZ",2016,"AZ",1,1
"2016_Pres_CA",2016,"CA",1,1
"2016_Pres_DC",2016,"DC",1,1
"2016_Pres_FL",2016,"FL",1,1
"2016_Pres_HI",2016,"HI",1,1
"2016_Pres_IA",2016,"IA",1,1
"2016_Pres_ID",2016,"ID",1,1
"2016_Pres_IL",2016,"IL",1,1
"2016_Pres_IN",2016,"IN",1,1
"2016_Pres_KS",2016,"KS",1,1
"2016_Pres_KY",2016,"KY",1,1
"2016_Pres_LA",2016,"LA",1,1
"2016_Pres_MA",2016,"MA",1,1
"2016_Pres_ME",2016,"ME",1,1
"2016_Pres_MI",2016,"MI",1,1
"2016_Pres_MN",2016,"MN",1,1
"2016_Pres_MO",2016,"MO",1,1
"2016_Pres_MT",2016,"MT",1,1
"2016_Pres_NC",2016,"NC",1,1
"2016_Pres_ND",2016,"ND",1,1
"2016_Pres_NE",2016,"NE",1,1
"2016_Pres_NH",2016,"NH",1,1
"2016_Pres_NJ",2016,"NJ",1,1
"2016_Pres_NV",2016,"NV",1,1
"2016_Pres_NY",2016,"NY",1,1
"2016_Pres_OH",2016,"OH",1,1
"2016_Pres_OK",2016,"OK",1,1
"2016_Pres_PA",2016,"PA",1,1
"2016_Pres_SC",2016,"SC",1,1
"2016_Pres_SD",2016,"SD",1,1
"2016_Pres_TN",2016,"TN",1,1
"2016_Pres_UT",2016,"UT",1,1
"2016_Pres_VA",2016,"VA",1,1
"2016_Pres_VT",2016,"VT",1,1
"2016_Pres_WA",2016,"WA",1,1
"2016_Pres_WI",2016,"WI",1,1
"2016_Pres_WV",2016,"WV",1,1
"2016_Pres_WY",2016,"WY",1,1
"2008_House-G_CA",2008,"CA",0,1
"2008_House-G_FL",2008,"FL",0,1
"2008_House-G_ID",2008,"ID",0,1
"2008_House-G_IL",2008,"IL",0,1
"2008_House-G_IN",2008,"IN",0,1
"2008_House-G_KY",2008,"KY",0,1
"2008_House-G_ME",2008,"ME",0,1
"2008_House-G_MO",2008,"MO",0,1
"2008_House-G_NH",2008,"NH",0,1
"2008_House-G_NJ",2008,"NJ",0,1
"2008_House-G_NM",2008,"NM",0,1
"2008_House-G_NV",2008,"NV",0,1
"2008_House-G_SC",2008,"SC",0,1
"2008_House-G_TX",2008,"TX",0,1
"2008_House-G_UT",2008,"UT",0,1
"2008_Pres_AL",2008,"AL",0,1
"2008_Pres_DE",2008,"DE",0,1
"2008_Pres_GA",2008,"GA",0,1
"2008_Pres_IA",2008,"IA",0,1
"2008_Pres_ID",2008,"ID",0,1
"2008_Pres_IL",2008,"IL",0,1
"2008_Pres_KS",2008,"KS",0,1
"2008_Pres_KY",2008,"KY",0,1
"2008_Pres_ME",2008,"ME",0,1
"2008_Pres_MN",2008,"MN",0,1
"2008_Pres_NE",2008,"NE",0,1
"2008_Pres_OK",2008,"OK",0,1
"2008_Pres_SC",2008,"SC",0,1
"2008_Pres_SD",2008,"SD",0,1
"2008_Pres_TN",2008,"TN",0,1
"2008_Pres_TX",2008,"TX",0,1
"2008_Pres_UT",2008,"UT",0,1
"2008_Sen-GS_MS",2008,"MS",0,1
"2008_Sen-G_CO",2008,"CO",0,1
"2008_Sen-G_GA",2008,"GA",0,1
"2008_Sen-G_KS",2008,"KS",0,1
"2008_Sen-G_KY",2008,"KY",0,1
"2008_Sen-G_MN",2008,"MN",0,1
"2008_Sen-G_NJ",2008,"NJ",0,1
"2008_Sen-G_OR",2008,"OR",0,1
"2008_Sen-G_SD",2008,"SD",0,1
"2008_Sen-G_TX",2008,"TX",0,1
"2010_House-GS_PA",2010,"PA",0,1
"2010_House-G_AR",2010,"AR",0,1
"2010_House-G_CA",2010,"CA",0,1
"2010_House-G_GA",2010,"GA",0,1
"2010_House-G_HI",2010,"HI",0,1
"2010_House-G_ID",2010,"ID",0,1
"2010_House-G_IL",2010,"IL",0,1
"2010_House-G_IN",2010,"IN",0,1
"2010_House-G_KY",2010,"KY",0,1
"2010_House-G_MA",2010,"MA",0,1
"2010_House-G_ME",2010,"ME",0,1
"2010_House-G_MI",2010,"MI",0,1
"2010_House-G_MN",2010,"MN",0,1
"2010_House-G_MO",2010,"MO",0,1
"2010_House-G_MS",2010,"MS",0,1
"2010_House-G_NC",2010,"NC",0,1
"2010_House-G_ND",2010,"ND",0,1
"2010_House-G_NH",2010,"NH",0,1
"2010_House-G_NJ",2010,"NJ",0,1
"2010_House-G_NM",2010,"NM",0,1
"2010_House-G_OH",2010,"OH",0,1
"2010_House-G_OR",2010,"OR",0,1
"2010_House-G_RI",2010,"RI",0,1
"2010_House-G_SD",2010,"SD",0,1
"2010_House-G_UT",2010,"UT",0,1
"2010_House-G_VA",2010,"VA",0,1
"2010_House-G_WA",2010,"WA",0,1
"2010_Sen-GS_MA",2010,"MA",0,1
"2010_Sen-G_AR",2010,"AR",0,1
"2010_Sen-G_IL",2010,"IL",0,1
"2010_Sen-G_MD",2010,"MD",0,1
"2010_Sen-G_NC",2010,"NC",0,1
"2010_Sen-G_OH",2010,"OH",0,1
"2010_Sen-G_OR",2010,"OR",0,1
"2010_Sen-G_WI",2010,"WI",0,1
"2012_House-G_CA",2012,"CA",0,1
"2012_House-G_FL",2012,"FL",0,1
"2012_House-G_HI",2012,"HI",0,1
"2012_House-G_IL",2012,"IL",0,1
"2012_House-G_ME",2012,"ME",0,1
"2012_House-G_MI",2012,"MI",0,1
"2012_House-G_ND",2012,"ND",0,1
"2012_House-G_NE",2012,"NE",0,1
"2012_House-G_NH",2012,"NH",0,1
"2012_House-G_NM",2012,"NM",0,1
"2012_House-G_NY",2012,"NY",0,1
"2012_House-G_RI",2012,"RI",0,1
"2012_House-G_UT",2012,"UT",0,1
"2012_Pres_AR",2012,"AR",0,1
"2012_Pres_FL",2012,"FL",0,1
"2012_Pres_IL",2012,"IL",0,1
"2012_Pres_MN",2012,"MN",0,1
"2012_Pres_NC",2012,"NC",0,1
"2012_Pres_ND",2012,"ND",0,1
"2012_Pres_NM",2012,"NM",0,1
"2012_Pres_NY",2012,"NY",0,1
"2012_Pres_OH",2012,"OH",0,1
"2012_Pres_OK",2012,"OK",0,1
"2012_Pres_PA",2012,"PA",0,1
"2012_Pres_SC",2012,"SC",0,1
"2012_Pres_TX",2012,"TX",0,1
"2012_Pres_VT",2012,"VT",0,1
"2012_Sen-G_IN",2012,"IN",0,1
"2012_Sen-G_MN",2012,"MN",0,1
"2012_Sen-G_ND",2012,"ND",0,1
"2012_Sen-G_NJ",2012,"NJ",0,1
"2012_Sen-G_WA",2012,"WA",0,1
"2014_House-GR_CA",2014,"CA",0,1
"2014_House-GS_FL",2014,"FL",0,1
"2014_House-G_AK",2014,"AK",0,1
"2014_House-G_AL",2014,"AL",0,1
"2014_House-G_AR",2014,"AR",0,1
"2014_House-G_AZ",2014,"AZ",0,1
"2014_House-G_CO",2014,"CO",0,1
"2014_House-G_CT",2014,"CT",0,1
"2014_House-G_FL",2014,"FL",0,1
"2014_House-G_GA",2014,"GA",0,1
"2014_House-G_HI",2014,"HI",0,1
"2014_House-G_IL",2014,"IL",0,1
"2014_House-G_IN",2014,"IN",0,1
"2014_House-G_KY",2014,"KY",0,1
"2014_House-G_MD",2014,"MD",0,1
"2014_House-G_ME",2014,"ME",0,1
"2014_House-G_MI",2014,"MI",0,1
"2014_House-G_MN",2014,"MN",0,1
"2014_House-G_MO",2014,"MO",0,1
"2014_House-G_MS",2014,"MS",0,1
"2014_House-G_NC",2014,"NC",0,1
"2014_House-G_NE",2014,"NE",0,1
"2014_House-G_NH",2014,"NH",0,1
"2014_House-G_NJ",2014,"NJ",0,1
"2014_House-G_NM",2014,"NM",0,1
"2014_House-G_NV",2014,"NV",0,1
"2014_House-G_OH",2014,"OH",0,1
"2014_House-G_OK",2014,"OK",0,1
"2014_House-G_OR",2014,"OR",0,1
"2014_House-G_PA",2014,"PA",0,1
"2014_House-G_SC",2014,"SC",0,1
"2014_House-G_TN",2014,"TN",0,1
