"race","race_state","state","state_long","type","year","pollster","samplesize","startdate","enddate","democrat_name","democrat_poll","democrat_result","republican_name","republican_poll","republican_result"
"2016_Pres_NM","2016_Pres_NM","NM","new mexico","Pres",2016,"Zia Poll",8439,2016-11-06,2016-11-06,"clinton",46,48.3,"trump",44,40
"2016_Pres_VA","2016_Pres_VA","VA","virginia","Pres",2016,"Public Policy Polling",1238,2016-11-03,2016-11-04,"clinton",48,49.8,"trump",43,44.4
"2016_Pres_IA","2016_Pres_IA","IA","iowa","Pres",2016,"Selzer & Company",800,2016-11-01,2016-11-04,"clinton",39,41.7,"trump",46,51.1
"2016_Pres_WI","2016_Pres_WI","WI","wisconsin","Pres",2016,"Marquette University",1255,2016-10-26,2016-10-31,"clinton",46,46.5,"trump",40,47.2
"2016_Pres_NC","2016_Pres_NC","NC","north carolina","Pres",2016,"Siena College",800,2016-11-04,2016-11-06,"clinton",44,46.2,"trump",44,49.8
"2016_Pres_GA","2016_Pres_GA","GA","georgia","Pres",2016,"Landmark Communications",1200,2016-11-06,2016-11-06,"clinton",46,45.9,"trump",49,51
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"Quinnipiac University",884,2016-11-03,2016-11-06,"clinton",46,47.8,"trump",45,49
"2016_Pres_NC","2016_Pres_NC","NC","north carolina","Pres",2016,"Quinnipiac University",870,2016-11-03,2016-11-06,"clinton",47,46.2,"trump",45,49.8
"2016_Pres_VA","2016_Pres_VA","VA","virginia","Pres",2016,"ABC News/Washington Post",1024,2016-10-27,2016-10-30,"clinton",48,49.8,"trump",42,44.4
"2016_Pres_GA","2016_Pres_GA","GA","georgia","Pres",2016,"Gravis Marketing",2002,2016-11-03,2016-11-06,"clinton",44,45.9,"trump",48,51
"2016_Pres_OR","2016_Pres_OR","OR","oregon","Pres",2016,"Gravis Marketing",1963,2016-11-03,2016-11-06,"clinton",44,50.1,"trump",40,39.1
"2016_Pres_OH","2016_Pres_OH","OH","ohio","Pres",2016,"Gravis Marketing",1781,2016-11-03,2016-11-06,"clinton",42,43.5,"trump",48,51.7
"2016_Pres_SC","2016_Pres_SC","SC","south carolina","Pres",2016,"Gravis Marketing",1751,2016-11-03,2016-11-06,"clinton",43,40.7,"trump",48,54.9
"2016_Pres_OH","2016_Pres_OH","OH","ohio","Pres",2016,"YouGov",1189,2016-11-02,2016-11-04,"clinton",45,43.5,"trump",46,51.7
"2016_Pres_VA","2016_Pres_VA","VA","virginia","Pres",2016,"Remington",3076,2016-11-01,2016-11-02,"clinton",46,49.8,"trump",44,44.4
"2016_Pres_NY","2016_Pres_NY","NY","new york","Pres",2016,"Gravis Marketing",1681,2016-11-03,2016-11-06,"clinton",55,59,"trump",36,36.5
"2016_Pres_MI","2016_Pres_MI","MI","michigan","Pres",2016,"Public Policy Polling",957,2016-11-03,2016-11-04,"clinton",46,47.3,"trump",41,47.5
"2016_Pres_NC","2016_Pres_NC","NC","north carolina","Pres",2016,"Public Policy Polling",1169,2016-10-31,2016-11-01,"clinton",49,46.2,"trump",47,49.8
"2016_Pres_WI","2016_Pres_WI","WI","wisconsin","Pres",2016,"Remington",2720,2016-11-01,2016-11-02,"clinton",49,46.5,"trump",41,47.2
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"Remington",2683,2016-11-01,2016-11-02,"clinton",46,47.9,"trump",45,48.6
"2016_Pres_VA","2016_Pres_VA","VA","virginia","Pres",2016,"Christopher Newport University",1193,2016-11-01,2016-11-06,"clinton",48,49.8,"trump",42,44.4
"2016_Pres_NC","2016_Pres_NC","NC","north carolina","Pres",2016,"Remington",2596,2016-11-01,2016-11-02,"clinton",45,46.2,"trump",48,49.8
"2016_Pres_OH","2016_Pres_OH","OH","ohio","Pres",2016,"Remington",2557,2016-11-01,2016-11-02,"clinton",44,43.5,"trump",45,51.7
"2016_Pres_GA","2016_Pres_GA","GA","georgia","Pres",2016,"YouGov",995,2016-11-03,2016-11-05,"clinton",43,45.9,"trump",49,51
"2016_Pres_MO","2016_Pres_MO","MO","missouri","Pres",2016,"Public Policy Polling",1083,2016-10-31,2016-11-01,"clinton",37,38.1,"trump",50,56.8
"2016_Pres_NH","2016_Pres_NH","NH","new hampshire","Pres",2016,"Emerson College",1000,2016-11-04,2016-11-05,"clinton",45.4,46.8,"trump",43.8,46.5
"2016_Pres_AZ","2016_Pres_AZ","AZ","arizona","Pres",2016,"Gravis Marketing",1453,2016-11-03,2016-11-06,"clinton",43,45.1,"trump",45,48.7
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"Remington",2352,2016-11-01,2016-11-02,"clinton",45,47.8,"trump",48,49
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"Public Policy Polling",1050,2016-10-31,2016-11-01,"clinton",48,47.9,"trump",44,48.6
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"YouGov",931,2016-11-03,2016-11-05,"clinton",45,47.9,"trump",43,48.6
"2016_Pres_NV","2016_Pres_NV","NV","nevada","Pres",2016,"Gravis Marketing",1158,2016-11-03,2016-11-06,"clinton",45,47.9,"trump",43,45.5
"2016_Pres_CO","2016_Pres_CO","CO","colorado","Pres",2016,"Gravis Marketing",1378,2016-11-03,2016-11-06,"clinton",44,48.2,"trump",43,43.3
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"YouGov",1188,2016-11-02,2016-11-04,"clinton",45,47.8,"trump",45,49
"2016_Pres_WI","2016_Pres_WI","WI","wisconsin","Pres",2016,"Clarity Campaign Labs",1129,2016-11-01,2016-11-02,"clinton",47,46.5,"trump",43,47.2
"2016_Pres_OH","2016_Pres_OH","OH","ohio","Pres",2016,"Emerson College",900,2016-11-04,2016-11-05,"clinton",38.9,43.5,"trump",45.6,51.7
"2016_Pres_NH","2016_Pres_NH","NH","new hampshire","Pres",2016,"University of New Hampshire",692,2016-11-03,2016-11-06,"clinton",49,46.8,"trump",38,46.5
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"Clarity Campaign Labs",1033,2016-11-01,2016-11-04,"clinton",47,47.9,"trump",43,48.6
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"SurveyUSA",1251,2016-10-20,2016-10-24,"clinton",48,47.8,"trump",45,49
"2016_Pres_CA","2016_Pres_CA","CA","california","Pres",2016,"YouGov",1498,2016-10-25,2016-10-31,"clinton",53,61.7,"trump",33,31.6
"2016_Pres_CO","2016_Pres_CO","CO","colorado","Pres",2016,"Remington",1863,2016-11-01,2016-11-02,"clinton",42,48.2,"trump",41,43.3
"2016_Pres_NY","2016_Pres_NY","NY","new york","Pres",2016,"Siena College",617,2016-11-03,2016-11-04,"clinton",51,59,"trump",34,36.5
"2016_Pres_NV","2016_Pres_NV","NV","nevada","Pres",2016,"Remington",1793,2016-11-01,2016-11-02,"clinton",45,47.9,"trump",46,45.5
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"Gravis Marketing",1220,2016-11-03,2016-11-06,"clinton",46,47.9,"trump",40,48.6
"2016_Pres_AZ","2016_Pres_AZ","AZ","arizona","Pres",2016,"Marist College",719,2016-10-30,2016-11-01,"clinton",40,45.1,"trump",45,48.7
"2016_Pres_MO","2016_Pres_MO","MO","missouri","Pres",2016,"Clarity Campaign Labs",1036,2016-11-01,2016-11-02,"clinton",38,38.1,"trump",54,56.8
"2016_Pres_WI","2016_Pres_WI","WI","wisconsin","Pres",2016,"Gravis Marketing",1184,2016-11-03,2016-11-06,"clinton",47,46.5,"trump",44,47.2
